FYBXD001_SYS	费用报销单
PSD01_SYS	标准配送单
GXJH01_SYS	标准工序计划
GXHB01_SYS	工序汇报
GXHB02_SYS	工序生产汇报(已作废)
CGDD07_SYS	VMI采购订单
SLD06_SYS	VMI收料单
RKD07_SYS	VMI入库单
TLD06_SYS	VMI退料单
SCDD05_SYS	工序汇报入库-普通生产
QTCKD03_SYS	VMI出库
ZJDB05_SYS	VMI直接调拨单
WQZY001_SYS	VMI物权转移
PK02_SYS	VMI盘亏单
LSD-XSD	销售开单-销售单
LSD-THD	销售开单-退货单
FYLSJK_SYS	历史借款单
FYSQ001_SYS	费用申请单
FYZY_SYS	费用移转单
FYHXD	费用核销单
CCSQ001_SYS	出差申请单
QTCKD04_SYS	费用物料出库
SCDD06_SYS	组织委托加工-直接入库
JYD003_SYS	库存检验单
JYD004_SYS	自制工序检验单
JYD005_SYS	委外工序检验单
KCQJD001_SYS	库存请检单
SCDD07_SYS	组织委托加工-汇报入库
XSTHD05_SYS	VMI销售退货单
SC_INNERACTINIT	资金内部账户期初
YSD02_SYS	费用应收单
YSD03_SYS	资产调拨应收
YFD03_SYS	资产调拨应付
FKSQ005_SYS	费用报销申请
FKDLX04_SYS	费用报销付款单
FKTKDLX03_SYS	费用报销付款退款单
QTYFD02_SYS	费用报销其他应付单
SKDLX04_SYS	内部利息收款单
FKDLX06_SYS	内部利息付款单
FKDLX05_SYS	资金上划付款单
SKDLX03_SYS	资金下拨收款单
GXBLP01_SYS	工序不良品明细
SCXZZCKDB01_SYS	在制仓库调拨单
SCXCPRKD01_SYS	生产线入库
SCXCPTKD01_SYS	生产线退库
SCXLLD01_SYS	生产线领料
SCXTLD01_SYS	生产线退料
GXJGJSD01_SYS	工序加工结算单
GXZYD01_SYS	标准工序转移单
SCXLSLJH01_SYS	领送料计划
SCXDLXQJH01_SYS	独立需求计划
SCXHLJH01_SYS	混流计划
SCXCPWGHB01_SYS	产品完工汇报
SCXZXRJH01_SYS	主线日计划
POSADD	PC POS
BZLSD	标准零售单
BZDJD	标准预订单
POSDJD	前台POS新增
MDDBSHD	门店调拨收货单
MDCGSHD	门店采购收货单
MDDBFH	门店调拨发货单
MDXSFHD	门店销售发货单
MDQTRKD	门店其他入库单
MDQTCKD	门店其他出库单
YJTJ	永久调价
BZZHCXPT	标准促销平台
JYD001_SYS	来料检验单
JYD002_SYS	产品检验单
XJCQ01_SYS	存款
CGSQD04_SYS	费用采购申请
DR01_SYS	跨人事管理中心调入单
RKD03_SYS	委外入库单
ZJDB02_SYS	寄售直接调拨单
WWTLD01_SYS	普通委外退料
XSTHD02_SYS	寄售退货单
PYPK02_SYS	盘亏
SCDD02_SYS	汇报入库-返工生产
ZCSQ01_SYS	标准资产申请
WLPDZY01_SYS	标准物料盘点作业
YCD01_SYS	普通预测单
SCDD01_SYS	汇报入库-普通生产
JDSCTL01_SYS	简单生产退料
QTCKD02_SYS	资产出库
PDCYFT01_SYS	标准差异分摊
YSD01_SYS	标准应收单
FHTZD01_SYS	标准发货通知单
XSPTFP01_SYS	销售普通发票
CXSQ01_SYS	产品促销申请
CXSQ02_SYS	广告促销申请
XSDD02_SYS	寄售销售订单
BRJS03_SYS	应收票据背书
SCRKD01_SYS	汇报入库
TLSQDD02_SYS	资产退回申请单
SCDD03_SYS	直接入库-普通生产
TLSQDD03_SYS	委外退料申请单
PK01_SYS	标准盘亏单
PDFA01_SYS	标准盘点方案
ZZCX01_SYS	标准组装拆卸
CGZZSZYFP01_SYS	采购增值税专用发票
XJCQ02_SYS	取款
YD01_SYS	标准内部异动申请单
SKDLX01_SYS	销售收款单
STCLRK01_SYS	标准受托加工材料入库单
XSTHD04_SYS	分销购销销售退货单
YFD02_SYS	费用应付单
XSDDBGD02_SYS	退货订单变更单
YHZZ01_SYS	标准转账
BPJS01_SYS	应付票据到期付款
CHSJWH01_SYS	存货市价单
WWLLD02_SYS	倒冲委外领料
FYFP01_SYS	薪酬费用分配单
ZCJY01_SYS	资产借入
TLD04_SYS	委外退料单
QTYFD01_SYS	其他应付单
FKTKDLX02_SYS	其他业务退款单
YHZZ02_SYS	购汇
JHDD01_SYS	MPS计划订单
CGRKTZD01_SYS	入库成本调整单
WSDD01_SYS	标准网上订单
RKD04_SYS	分销购销入库单
XSZZSZYFP01_SYS	销售增值税专用发票
SCHBD01_SYS	入库汇报
TLSQDD01_SYS	标准退料申请
WWBLD01_SYS	普通委外补料
WWBL01_SYS	委外备料单
YSD04_SYS	转销应收单
QTCKD01_SYS	标准其他出库单
FKSQ006_SYS	工资付款申请
B2CDD02_SYS	标准B2C订单
B2CDD01_SYS	手工B2C订单
B2CTH01_SYS	退货退款申请单
B2CTH04_SYS	退款不退货申请单
B2CTH03_SYS	退货补货（先退后补）申请单
B2CTH02_SYS	退货换货申请单
FBDR02_SYS	VMI分步式调入单
FBDC02_SYS	VMI分步式调出单
ZJDBDLX01_SYS	普通资金调拨
SKDLX05_SYS	资金调拨收款单
FKDLX07_SYS	资金调拨付款单
B2CDD03_SYS	补/换货B2C订单
