# FormId	BillTypeNumber	BillTypeName
ER_ExpReimbursement	FYBXD001_SYS	费用报销单
DRP_DistributeOfBill	PSD01_SYS	标准配送单
SFC_OperationPlanning	GXJH01_SYS	标准工序计划
SFC_OperationReport	GXHB01_SYS	工序汇报
SFC_OperationReport	GXHB02_SYS	工序生产汇报(已作废)
PUR_PurchaseOrder	CGDD07_SYS	VMI采购订单
PUR_ReceiveBill	SLD06_SYS	VMI收料单
STK_InStock	RKD07_SYS	VMI入库单
PUR_MRB	TLD06_SYS	VMI退料单
PRD_MO	SCDD05_SYS	工序汇报入库-普通生产
STK_MisDelivery	QTCKD03_SYS	VMI出库
STK_TransferDirect	ZJDB05_SYS	VMI直接调拨单
PUR_PropertyConvert	WQZY001_SYS	VMI物权转移
STK_StockCountLoss	PK02_SYS	VMI盘亏单
CMK_LS_SimplePos	LSD-XSD	销售开单-销售单
CMK_LS_SimplePos	LSD-THD	销售开单-退货单
ER_HisBorrow	FYLSJK_SYS	历史借款单
ER_ExpenseRequest	FYSQ001_SYS	费用申请单
ER_ExpenseTransfer	FYZY_SYS	费用移转单
ER_MatchBill	FYHXD	费用核销单
ER_ExpenseRequest_Travel	CCSQ001_SYS	出差申请单
STK_MisDelivery	QTCKD04_SYS	费用物料出库
PRD_MO	SCDD06_SYS	组织委托加工-直接入库
QM_InspectBill	JYD003_SYS	库存检验单
QM_InspectBill	JYD004_SYS	自制工序检验单
QM_InspectBill	JYD005_SYS	委外工序检验单
QM_STKAPPInspect	KCQJD001_SYS	库存请检单
PRD_MO	SCDD07_SYS	组织委托加工-汇报入库
SAL_RETURNSTOCK	XSTHD05_SYS	VMI销售退货单
SC_INNERACTINIT	SC_INNERACTINIT	资金内部账户期初
AR_receivable	YSD02_SYS	费用应收单
AR_receivable	YSD03_SYS	资产调拨应收
AP_Payable	YFD03_SYS	资产调拨应付
CN_PAYAPPLY	FKSQ005_SYS	费用报销申请
AP_PAYBILL	FKDLX04_SYS	费用报销付款单
AP_REFUNDBILL	FKTKDLX03_SYS	费用报销付款退款单
AP_OtherPayable	QTYFD02_SYS	费用报销其他应付单
AR_RECEIVEBILL	SKDLX04_SYS	内部利息收款单
AP_PAYBILL	FKDLX06_SYS	内部利息付款单
AP_PAYBILL	FKDLX05_SYS	资金上划付款单
AR_RECEIVEBILL	SKDLX03_SYS	资金下拨收款单
SFC_OperationRejects	GXBLP01_SYS	工序不良品明细
REM_TransferDirect	SCXZZCKDB01_SYS	在制仓库调拨单
REM_INSTOCK	SCXCPRKD01_SYS	生产线入库
REM_OUTSTOCK	SCXCPTKD01_SYS	生产线退库
REM_PickMtrl	SCXLLD01_SYS	生产线领料
REM_ReturnMtrl	SCXTLD01_SYS	生产线退料
SFC_OperProcBalance	GXJGJSD01_SYS	工序加工结算单
SFC_OperationTransfer	GXZYD01_SYS	标准工序转移单
REM_FeedMtrlPlan	SCXLSLJH01_SYS	领送料计划
REM_IndepenReqPlan	SCXDLXQJH01_SYS	独立需求计划
REM_MixedFlowPlan	SCXHLJH01_SYS	混流计划
REM_ProdLineCompleteReport	SCXCPWGHB01_SYS	产品完工汇报
